학교,코드 번호,제목,Name,Strategic field,Keywords
Mass General Brigham,MGB-001,Development of an On-Premise LLM for Automated Diagnostic Reporting for Ultrasound AI Using Global Datasets,Kyungsang Kim,"Advanced Bio, AI","Biomedical, Medical Services & Industry, AI-based Medical Services"
Mass General Brigham,MGB-002,LLM-Enabled Evidence-Grounded Decision-Support Platform for Rare Cancers,Jong Chul Park,AI,"정보통신, 바이오/의료, 소프트웨어, SW솔루션(300802), 의료정보 및 시스템, 기타 의료정보, 및 시스템(500606)"
Mass General Brigham,MGB-003,Next-Generation Physics-Informed Intelligent Platform for Quantitative Medical Imaging,Quanzheng Li,Advanced Bio,"Biomedical, Medical Devices, Medical Imaging Devices"
Mass General Brigham,MGB-004,"A rational discoverydevelopment platform for human microbiome originated, precision live bacterial products (pLBPs)",Sungwhan F. Oh,Advanced Bio,"Bio-Medical, Bio-Medical, Medicinal Bio, Microorganisms, and, Enzyme Catalysts, Convergence Bio, Other Convergence Bio-, products/Technologies"
Mass General Brigham,MGB-005,Context-Aware High-Precision Tumor Segmentation and Follow-up Technology based on Multimodal LLMs Fusing 3D Medical Imaging and Clinical Notes,Kyungsang Kim,"Advanced Bio, AI","Biotech and Healthcare, Information and Communications, Therapeutic devices, and diagnostics, Intelligent diagnosis, system, Software, SW Solution, (TIPA: Korea Technology and Information Promotion Agency for SMEs)"
Mass General Brigham,MGB-006,Spatial Omics & Translational Modeling Platform for Target-Specific Therapy and Immunotherapy Response Prediction in Head and Neck Cancer,Jong Chul Park,Advanced Bio,Biotechnology / Biohealth
Mass General Brigham,MGB-007,A Bio-Semiconductor–Based Point-of-Care Multimodal Biosensing Platform for Osteoporosis Progression Diagnosis,Su Ryon Shin,"Semiconductor/Display, Advanced Bio","Bio & Medicine, e.g. Precision manufacturing, machinery, e.g. Cutting/processing, machinery"
Mass General Brigham,MGB-008,Multi-omics biomarker analysis for longitudinal treatment monitoring and prediction,Hyungsoon Im,Advanced Bio,"Biomedical and Healthcare, Therapeutic and diagnostic, systems, Molecular diagnostic, systems"
Mass General Brigham,MGB-009,Injectable Ultra-High-Concentration Protein Therapeutic Formulations Enabled by Particle-Based and Non-Aqueous Delivery Platforms,Yuhan Lee,Advanced Bio,"Biotechnology / Pharmaceutical, Biopharmaceutical, formulation and delivery, Injectable protein, formulations, drug delivery, systems"
Mass General Brigham,MGB-010,Handheld In Situ Electrospinning Platform for Chronic Wound Healing Using ECM homeostasis-Regulating Micromaterial–Embedded Nanofiber Matrices,Su Ryon Shin,Advanced Bio,"Bio & Medical, Bio & Medical, Pharmaceutical, Biotechnology, Bio-based Biomaterials, Therapeutic and, Diagnostic Devices, Other Therapeutic, Devices"
Mass General Brigham,MGB-011,Quantum Biophotonic Integrated Circuits for the Early Detection of Sepsis,Luke P. Lee,"Semiconductor/Display, Advanced Bio, Quantum","Bio & Medicine, e.g. Semiconductor, manufacturing process, e.g. Display, manufacturing process"
Mass General Brigham,MGB-012,Development of a High‑Multiplex Biomarker Imaging Platform for Precision Diagnostics and Therapeutic Innovation,Conor Evans,Advanced Bio,"Bio / Medical Technology, AI / Digital Healthcare / Intelligent Medical Devices, Biomedical Imaging &, Diagnostics, Molecular Imaging / Multiplex, Biomarker Imaging, Digital Pathology, AI-enabled Biomarker, Analysis"
Georgia Tech,GT-001,AI Foundation Models for Warpage in Advanced Packaging to Secure a Technological Lead in High Bandwidth Memory Manufacturing,PI- Xiao LIU,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","2. Electrical & Electronics, 7. Large Classification: Knowledge Service, Semiconductor Device, and System (2004), Design Tool (200407), Manufacturing, Engineering Service, (7005), Production Process, Modeling/Simulation, Service (700503)"
Georgia Tech,GT-002,AI-Driven Active Transfer Learning for Efficient Process Modeling in Advanced Manufacturing,Kamran Paynabar,"AI, Advanced Robotics & Manufacturing","Mechanical ᆞMaterials, Artificial Intelligence, Additive, Manufacturing/ Bio, 3DPrinting, Digital, manufacturing, Smart, Manufacturing, AI-Based, Manufacturing, Process Control"
Georgia Tech,GT-003,Autonomous Robotic Endoscope for Minimally Invasive Interventions,Yue Chen,"AI, Advanced Robotics & Manufacturing","Bio ㆍMedical, Mechanical ᆞMaterials, Therapeutic devices &, diagnostic devices, Interventional Therapeutic, Devices, Robotics/ Automation, Machinery, Robot Control and, Intelligence Technologies"
Georgia Tech,GT-004,Designing Mechanically Intelligent Robotic Manipulators for Highly Unstructured Environments,Tony G. Chen,"Advanced Mobility, Aerospace/Marine, AI, Advanced Robotics & Manufacturing","Mechanical and Materials, Mechanical and Materials, Robotics/Automation, Machinery, Robot Design, Technologies, Robotics/Automation, Machinery, Robot Control and, Intelligence, Technologies"
